,source,target,weight,year
870,Washington,Cambridge,1,2018
871,Washington,Exeter,1,2018
875,Washington,Philadelphia,1,2020
876,Washington,Knoxville,1,2020
877,Washington,Denver,1,2020
883,Washington,Washington D.C.,1,2021
879,Washington,Akron,1,2023
880,Washington,Washington,1,2023
881,Washington,Beijing,1,2023
882,Washington,New Orleans,1,2023
892,Washington,Irvine,1,2024
492,Washington D.C.,Menlo Park,1,1981
491,Washington D.C.,Rotterdam,1,1991
486,Washington D.C.,Washington,1,1999
487,Washington D.C.,Baltimore,1,1999
488,Washington D.C.,Washington,1,2006
489,Washington D.C.,Beijing,1,2006
490,Washington D.C.,Cambridge,1,2006
483,Washington D.C.,Manchester,1,2008
484,Washington D.C.,Wellesley,1,2008
480,Washington D.C.,La Plata,1,2012
493,Washington D.C.,Cambridge,1,2015
479,Washington D.C.,Moscow,1,2016
481,Washington D.C.,Washington,1,2018
482,Washington D.C.,Rome,1,2018
485,Washington D.C.,Washington,1,2021
762,Waterloo,Auckland,1,2015
763,Waterloo,Linköping,1,2020
764,Waterloo,Bonn,1,2024
1222,Wellesley,Washington,1,1986
1223,Wellesley,Washington D.C.,1,2008
1355,West Long Branch,Stony Brook,1,2005
1356,West Long Branch,Oxford,1,2005
1224,West Point,Pisa,1,2020
1225,West Point,Lille,1,2020
1273,Wiesbaden,Speyer,1,2014
1274,Wiesbaden,Koblenz,1,2014
1275,Wiesbaden,Kiel,1,2014
1276,Wiesbaden,Berlin,1,2014
902,Williamstown,New York,1,2012
507,Winnipeg,Peterborough,1,1992
510,Winnipeg,Peterborough,1,1995
506,Winnipeg,Vancouver,1,2009
505,Winnipeg,Bremen,1,2017
508,Winnipeg,Montreal,1,2018
509,Winnipeg,Rio de Janeiro,1,2018
500,Winnipeg,Boone,1,2019
503,Winnipeg,Los Angeles,1,2020
504,Winnipeg,Kingston,1,2021
501,Winnipeg,Victoria,2,2024
502,Winnipeg,Kingston,1,2024
242,Wollongong,Sydney,1,2023
1297,Worcester,Cairo,1,2020
769,Wroclaw,Barcelona,1,2023
99,York,Carlow,1,2012
100,York,Oxford,1,2019
95,York,Rotterdam,1,2023
96,York,Liverpool,2,2023
97,York,Newcastle upon Tyne,3,2023
98,York,London,1,2023
702,Zurich,Bern,1,2019
701,Zurich,Oxford,1,2020
697,Zurich,Herzliya,1,2022
698,Zurich,London,1,2022
699,Zurich,Tel Aviv,1,2022
700,Zurich,Taipei,1,2022
