n_pub_SHS,n_pub_SHS_eco,n_ubi_SHS,n_ubi_SHS_eco,year
758327,116230,22.0,18.0,1992
799889,122996,37.0,28.0,1993
844075,129787,36.0,33.0,1994
893756,138317,50.0,39.0,1995
950194,147803,63.0,47.0,1996
1007559,155402,73.0,62.0,1997
1063551,166052,47.0,41.0,1998
1130913,179180,73.0,63.0,1999
1346740,216415,115.0,92.0,2000
1394928,231751,71.0,60.0,2001
1615210,280001,78.0,70.0,2002
1712751,296382,91.0,78.0,2003
1852914,323888,132.0,109.0,2004
2010632,355966,124.0,111.0,2005
2214905,393939,189.0,159.0,2006
2561578,466976,126.0,105.0,2007
2670811,471090,186.0,144.0,2008
2954638,525757,126.0,106.0,2009
3232937,572049,172.0,137.0,2010
3518288,617349,197.0,159.0,2011
3684809,655663,265.0,215.0,2012
3937596,688704,245.0,182.0,2013
4099565,703861,277.0,204.0,2014
4247726,711393,234.0,178.0,2015
4422326,706391,339.0,237.0,2016
4552097,717034,533.0,394.0,2017
4570245,747565,559.0,427.0,2018
4636368,769108,564.0,437.0,2019
4798378,840558,566.0,443.0,2020
4264275,822628,475.0,358.0,2021
3687692,732919,326.0,242.0,2022
3867869,763143,379.0,282.0,2023
902407,175901,81.0,69.0,2024
