basic income,negative income tax,minimum income guarantee,Total,share basic income,share negative income tax,share minimum income guarantee,community
414,130,20,1109,0.37330928764652843,0.11722272317403065,0.018034265103697024,1
99,93,29,428,0.23130841121495327,0.21728971962616822,0.06775700934579439,2
153,200,16,780,0.19615384615384615,0.2564102564102564,0.020512820512820513,3
106,10,4,233,0.45493562231759654,0.04291845493562232,0.017167381974248927,4
14,5,1,67,0.208955223880597,0.07462686567164178,0.014925373134328358,5
