basic income,negative income tax,minimum income guarantee,periodic,cash payment,individual,universal,unconditional,regularly,in kind,Total,share basic income,share negative income tax,share minimum income guarantee,share periodic,share cash payment,share individual,share universal,share unconditional,share regularly,share in kind,community
902,30,20,6,16,96,322,193,5,1,1244,0.72508038585209,0.024115755627009645,0.01607717041800643,0.00482315112540193,0.012861736334405145,0.07717041800643087,0.25884244372990356,0.15514469453376206,0.0040192926045016075,0.0008038585209003215,1
401,85,8,0,13,37,210,77,1,0,642,0.6246105919003115,0.13239875389408098,0.012461059190031152,0.0,0.020249221183800622,0.05763239875389408,0.32710280373831774,0.11993769470404984,0.001557632398753894,0.0,2
222,56,26,0,0,32,60,50,0,0,476,0.46638655462184875,0.11764705882352941,0.0546218487394958,0.0,0.0,0.06722689075630252,0.12605042016806722,0.10504201680672269,0.0,0.0,3
98,0,0,0,1,11,41,22,1,0,169,0.5798816568047337,0.0,0.0,0.0,0.005917159763313609,0.0650887573964497,0.24260355029585798,0.1301775147928994,0.005917159763313609,0.0,4
51,2,4,0,1,8,13,2,0,0,86,0.5930232558139535,0.023255813953488372,0.046511627906976744,0.0,0.011627906976744186,0.09302325581395349,0.1511627906976744,0.023255813953488372,0.0,0.0,5
