id,id_cleaned,year,score_foster,score_lee,score_wang,score_uzzi,DI1,DI5,DI5nok,DI1nok,Breadth,Depth
https://openalex.org/W2766277156,2766277156,2017,0.8333333333333334,1.3968343662983076,0.0,-2.2204972044949725,1.0,1.0,1.0,1.0,1.0,0.0
https://openalex.org/W2009963354,2009963354,2009,0.5490196078431373,0.6197714933099864,0.0,-0.08481889296799729,-1.0,-1.0,-1.0,-1.0,1.0,0.0
https://openalex.org/W2059689537,2059689537,2015,0.4421052631578947,0.050365659762404,8.353463519470042,,1.0,1.0,1.0,1.0,0.5,0.5
https://openalex.org/W2154565440,2154565440,1973,0.8181818181818182,0.8266785731844679,0.0,,1.0,1.0,1.0,1.0,1.0,0.0
https://openalex.org/W2407252987,2407252987,2014,0.5,-0.42161130632379357,0.0,-1.1158236434711823,0.0,0.0,0.0,0.0,0.0,0.0
https://openalex.org/W52921676,52921676,1988,0.8416666666666667,0.9287132518727121,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
https://openalex.org/W1983208741,1983208741,2006,0.7612903225806451,0.8519856596629546,7.929764031994954,,0.0,0.0,0.0,0.0,0.0,0.0
https://openalex.org/W1967451226,1967451226,1999,0.5368421052631579,0.1785914978998459,0.0,0.7572948413327036,1.0,1.0,1.0,1.0,0.5,0.5
https://openalex.org/W1491427068,1491427068,2004,0.7047619047619048,-0.18911226450369875,1.7835157077843349,,0.0,0.007352941176470588,1.0,0.0,1.0,0.0
https://openalex.org/W2590616184,2590616184,2016,0.6666666666666666,-1.6837499453986517,0.0,,1.0,1.0,1.0,1.0,1.0,0.0
https://openalex.org/W3123003693,3123003693,2004,0.6666666666666666,-1.1028318819592375,0.0,-1.0957531698162968,1.0,1.0,1.0,1.0,1.0,0.0
https://openalex.org/W2158177030,2158177030,1998,0.7254901960784313,0.3230412193967875,6.780018313691588,,0.0,0.0,0.0,0.0,0.0,0.0
https://openalex.org/W1699800300,1699800300,2015,0.5904761904761905,0.827552657851956,2.296939323552591,,0.05660377358490566,0.037037037037037035,0.3333333333333333,0.6,0.6,0.4
