periodic,cash payment,individual,universal,unconditional,regularly,in kind,Total,share periodic,share cash payment,share individual,share universal,share unconditional,share regularly,share in kind,community
63,53,562,602,408,65,61,1109,0.056807935076645624,0.047790802524797116,0.5067628494138864,0.5428313796212805,0.3678990081154193,0.058611361587015326,0.05500450856627592,1
13,12,228,156,94,9,22,428,0.030373831775700934,0.028037383177570093,0.5327102803738317,0.3644859813084112,0.21962616822429906,0.02102803738317757,0.0514018691588785,2
41,49,366,366,201,31,24,780,0.052564102564102565,0.06282051282051282,0.46923076923076923,0.46923076923076923,0.25769230769230766,0.03974358974358974,0.03076923076923077,3
10,8,126,127,55,25,11,233,0.04291845493562232,0.034334763948497854,0.5407725321888412,0.5450643776824035,0.23605150214592274,0.1072961373390558,0.04721030042918455,4
2,1,28,10,5,4,2,67,0.029850746268656716,0.014925373134328358,0.417910447761194,0.14925373134328357,0.07462686567164178,0.05970149253731343,0.029850746268656716,5
