,source,target,weight,year
320,KR,US,2,2019
318,KR,US,1,2021
360,KW,US,1,1986
354,LT,GB,1,2023
355,LT,LT,1,2023
325,LU,IT,1,2018
340,LV,CA,1,2021
339,LV,GB,1,2022
353,MK,US,1,2013
328,MX,MX,1,2017
329,MX,CA,1,2017
326,MX,MX,1,2019
327,MX,ES,1,2019
25,NL,NL,1,1988
26,NL,US,1,1988
22,NL,NL,1,1997
23,NL,AU,1,1997
24,NL,BE,1,2013
20,NL,IE,1,2015
16,NL,DK,1,2018
17,NL,ZA,1,2018
18,NL,NL,1,2018
19,NL,ET,1,2018
21,NL,BE,1,2019
14,NL,NL,1,2020
15,NL,BE,2,2020
263,NO,CN,1,2011
264,NO,US,1,2011
265,NO,CN,1,2014
266,NO,US,1,2014
267,NO,GB,2,2021
241,PL,DE,2,2011
242,PL,PL,1,2011
243,PL,AT,1,2011
244,PL,AT,1,2012
245,PL,DE,1,2012
250,PL,ES,1,2016
240,PL,US,1,2021
246,PL,US,3,2022
247,PL,SK,1,2022
248,PL,IT,1,2022
249,PL,DE,1,2022
271,PT,ES,7,2021
272,PT,PT,7,2021
273,PT,ES,1,2022
274,PT,PT,1,2022
307,PY,ES,1,2019
352,QA,GB,1,2021
356,RU,DE,1,2021
357,RU,RU,1,2021
316,SE,FI,1,2016
314,SE,GB,1,2018
315,SE,BE,1,2018
317,SE,DK,1,2019
309,SE,CA,2,2020
310,SE,GB,1,2020
311,SE,SE,1,2020
312,SE,AU,1,2020
313,SE,FR,1,2020
302,SK,BA,1,2018
303,SK,DE,1,2022
304,SK,PL,1,2022
305,SK,IT,1,2022
361,TW,CH,1,2022
85,US,KW,1,1986
84,US,IL,1,1987
83,US,NL,1,1988
62,US,CN,1,1995
78,US,JP,1,1997
43,US,GB,2,2003
40,US,US,2,2005
41,US,FR,1,2005
42,US,GB,1,2005
68,US,CA,1,2009
69,US,US,1,2009
77,US,GB,2,2010
51,US,CN,1,2011
52,US,NO,1,2011
79,US,MK,1,2013
73,US,CA,2,2014
74,US,FR,2,2014
75,US,CN,1,2014
76,US,NO,1,2014
61,US,ES,1,2015
63,US,BE,1,2017
64,US,FI,1,2017
65,US,FR,1,2017
44,US,IT,1,2018
45,US,BE,1,2018
53,US,GB,4,2019
54,US,FR,2,2019
55,US,US,2,2019
56,US,IT,1,2019
57,US,BE,2,2019
58,US,CA,1,2019
59,US,KR,2,2019
60,US,DE,1,2019
66,US,EG,1,2020
67,US,GB,1,2020
46,US,PL,1,2021
47,US,CN,1,2021
48,US,CH,1,2021
49,US,KR,1,2021
50,US,GB,1,2021
80,US,PL,3,2022
81,US,GB,1,2022
82,US,US,1,2022
70,US,US,1,2023
71,US,CN,2,2023
72,US,GB,1,2023
333,ZA,GB,1,2016
334,ZA,CA,1,2016
331,ZA,ET,1,2018
332,ZA,NL,1,2018
335,ZA,AU,1,2020
