Id,Label,community,modularity_class
159,https://openalex.org/W3169640568,0,2
160,https://openalex.org/W2772957692,0,2
161,https://openalex.org/W2912396582,0,2
162,https://openalex.org/W3115652188,0,2
163,https://openalex.org/W3124760615,0,2
164,https://openalex.org/W4213185949,0,2
165,https://openalex.org/W4312256117,0,1
166,https://openalex.org/W2065278795,0,3
167,https://openalex.org/W2084241544,0,3
168,https://openalex.org/W2626531946,0,5
169,https://openalex.org/W2935742606,0,1
170,https://openalex.org/W2976450608,0,5
171,https://openalex.org/W4200334483,0,1
172,https://openalex.org/W2903657392,0,1
173,https://openalex.org/W2616841982,0,1
174,https://openalex.org/W2975374675,0,1
175,https://openalex.org/W3148404943,0,4
176,https://openalex.org/W3010725976,0,5
177,https://openalex.org/W2003262925,0,5
178,https://openalex.org/W2884536002,0,5
179,https://openalex.org/W2889025311,0,5
180,https://openalex.org/W2953285749,0,5
181,https://openalex.org/W2990446669,0,5
182,https://openalex.org/W1885074746,0,4
183,https://openalex.org/W2073244119,0,3
184,https://openalex.org/W2555932976,0,4
185,https://openalex.org/W2253149377,0,1
186,https://openalex.org/W2064212453,0,1
187,https://openalex.org/W2904189799,0,2
188,https://openalex.org/W2890038669,0,2
189,https://openalex.org/W3032947384,0,0
190,https://openalex.org/W154625863,0,0
191,https://openalex.org/W621725969,0,3
192,https://openalex.org/W2329003484,0,3
193,https://openalex.org/W2469466583,0,0
194,https://openalex.org/W2604905395,0,2
195,https://openalex.org/W2747268871,0,4
196,https://openalex.org/W2909347704,0,4
197,https://openalex.org/W3125477957,1,3
198,https://openalex.org/W3124443986,1,3
199,https://openalex.org/W3195457335,0,0
200,https://openalex.org/W1969840663,0,0
201,https://openalex.org/W3209496259,0,1
202,https://openalex.org/W1973708231,0,1
203,https://openalex.org/W1989200283,0,4
204,https://openalex.org/W2469845854,0,1
205,https://openalex.org/W4240764301,0,4
206,https://openalex.org/W2085790824,0,4
207,https://openalex.org/W2290103850,0,4
208,https://openalex.org/W4251598620,0,4
209,https://openalex.org/W4286728416,0,5
210,https://openalex.org/W2920204388,0,2
211,https://openalex.org/W3185690004,0,1
212,https://openalex.org/W4236767627,0,5
213,https://openalex.org/W4306154095,0,2
214,https://openalex.org/W2979539723,0,2
215,https://openalex.org/W3081902051,0,5
216,https://openalex.org/W3172435365,0,2
217,https://openalex.org/W4383311987,0,4
218,https://openalex.org/W4234197910,0,4
219,https://openalex.org/W4393232696,0,5
220,https://openalex.org/W3091866366,0,5
221,https://openalex.org/W3117266402,0,5
222,https://openalex.org/W4214602492,0,5
223,https://openalex.org/W4220782393,0,3
224,https://openalex.org/W4225524879,0,2
225,https://openalex.org/W4240916516,0,3
226,https://openalex.org/W4284685808,0,5
227,https://openalex.org/W4294250967,0,1
228,https://openalex.org/W4377987049,0,5
229,https://openalex.org/W3080667430,0,5
230,https://openalex.org/W4224311061,0,2
231,https://openalex.org/W4387814815,0,0
232,https://openalex.org/W1530511226,0,4
233,https://openalex.org/W1964377998,0,0
234,https://openalex.org/W1985507220,0,4
235,https://openalex.org/W2157949926,0,3
236,https://openalex.org/W2771653909,0,0
237,https://openalex.org/W2793135957,0,0
238,https://openalex.org/W4252375516,0,0
239,https://openalex.org/W4283658799,0,5
240,https://openalex.org/W2234057235,0,0
241,https://openalex.org/W2331631408,0,3
242,https://openalex.org/W2003199800,0,4
243,https://openalex.org/W2080887626,0,4
244,https://openalex.org/W3142606906,0,4
245,https://openalex.org/W3026140281,0,0
246,https://openalex.org/W1530663486,0,0
247,https://openalex.org/W2913727317,0,2
248,https://openalex.org/W2344304148,0,3
249,https://openalex.org/W628003867,0,3
250,https://openalex.org/W2131387292,0,3
251,https://openalex.org/W2133310729,0,3
252,https://openalex.org/W2314784325,0,3
253,https://openalex.org/W2314879674,0,3
254,https://openalex.org/W2160270904,0,0
255,https://openalex.org/W2132437098,0,0
256,https://openalex.org/W2079074079,0,3
257,https://openalex.org/W1974381581,0,3
258,https://openalex.org/W1984370180,0,3
259,https://openalex.org/W635171058,0,4
260,https://openalex.org/W431718640,2,3
261,https://openalex.org/W1975804246,2,3
262,https://openalex.org/W2132335104,0,4
263,https://openalex.org/W3200881037,0,0
264,https://openalex.org/W2799685887,0,0
265,https://openalex.org/W2802352343,0,0
266,https://openalex.org/W3012322465,0,0
267,https://openalex.org/W3042606465,0,0
268,https://openalex.org/W2483550619,0,5
269,https://openalex.org/W2757563189,0,3
270,https://openalex.org/W1778294656,0,3
271,https://openalex.org/W3117903122,0,1
272,https://openalex.org/W2901702355,0,4
273,https://openalex.org/W4221011050,0,5
274,https://openalex.org/W2492028732,0,5
275,https://openalex.org/W2954742203,0,5
276,https://openalex.org/W3047119234,0,5
277,https://openalex.org/W3094163981,0,5
278,https://openalex.org/W3107631710,0,5
279,https://openalex.org/W3110319431,0,5
280,https://openalex.org/W3215833932,0,5
281,https://openalex.org/W2413512118,0,4
282,https://openalex.org/W603061329,0,4
283,https://openalex.org/W2498807598,0,5
284,https://openalex.org/W2807672888,0,3
285,https://openalex.org/W79019260,0,3
286,https://openalex.org/W3047377693,0,2
287,https://openalex.org/W2110943688,0,0
288,https://openalex.org/W3107990301,0,2
289,https://openalex.org/W2916594419,0,1
290,https://openalex.org/W2972721132,0,2
291,https://openalex.org/W2984160340,0,0
292,https://openalex.org/W2962640026,0,0
293,https://openalex.org/W3102209511,0,4
294,https://openalex.org/W1986521709,0,4
295,https://openalex.org/W2221501703,0,4
296,https://openalex.org/W2266432903,0,4
297,https://openalex.org/W2266828060,0,4
298,https://openalex.org/W2323875956,0,3
299,https://openalex.org/W2327077096,0,4
300,https://openalex.org/W2481211194,0,2
301,https://openalex.org/W2602700449,0,1
302,https://openalex.org/W3124406109,0,4
303,https://openalex.org/W4254412113,0,3
304,https://openalex.org/W2668662915,0,1
305,https://openalex.org/W1206036582,0,1
306,https://openalex.org/W2053924449,0,4
307,https://openalex.org/W2073626914,0,4
308,https://openalex.org/W3046563265,0,0
309,https://openalex.org/W1503887202,0,4
310,https://openalex.org/W163765928,0,4
311,https://openalex.org/W181094514,0,4
312,https://openalex.org/W2006814807,0,3
313,https://openalex.org/W2023461569,0,3
314,https://openalex.org/W1524955516,0,3
315,https://openalex.org/W188478625,0,4
316,https://openalex.org/W1497614679,0,4
317,https://openalex.org/W1557360528,0,4
318,https://openalex.org/W1971517575,0,3
319,https://openalex.org/W2487261337,0,3
320,https://openalex.org/W2779152765,0,3
321,https://openalex.org/W2217489314,0,3
322,https://openalex.org/W2480075790,0,3
323,https://openalex.org/W2600924988,0,3
324,https://openalex.org/W2786495524,0,3
325,https://openalex.org/W2951967867,0,3
326,https://openalex.org/W1970718642,0,4
327,https://openalex.org/W2023484622,0,3
328,https://openalex.org/W2604818802,0,3
329,https://openalex.org/W292082746,0,4
330,https://openalex.org/W1565591326,0,4
331,https://openalex.org/W2982622373,0,1
332,https://openalex.org/W2605094594,0,5
333,https://openalex.org/W2769245732,0,3
334,https://openalex.org/W3027164296,0,1
335,https://openalex.org/W3122650498,0,3
336,https://openalex.org/W2889085918,0,3
337,https://openalex.org/W2945857370,0,3
338,https://openalex.org/W4255808176,0,2
339,https://openalex.org/W3033713727,0,4
340,https://openalex.org/W2004273582,0,4
341,https://openalex.org/W2796504779,0,4
342,https://openalex.org/W3131071123,0,2
343,https://openalex.org/W4206946606,0,3
344,https://openalex.org/W4231078775,0,3
345,https://openalex.org/W1924889114,0,3
346,https://openalex.org/W2605039349,0,3
347,https://openalex.org/W2754348787,0,3
348,https://openalex.org/W2904755814,0,5
349,https://openalex.org/W4214605526,0,1
350,https://openalex.org/W2997569858,0,1
351,https://openalex.org/W4281633594,0,0
352,https://openalex.org/W3216710232,0,0
353,https://openalex.org/W4243281966,0,0
354,https://openalex.org/W4251261735,0,0
355,https://openalex.org/W4321236995,0,2
356,https://openalex.org/W4375825476,0,5
357,https://openalex.org/W1511510731,0,5
358,https://openalex.org/W2411363536,0,5
359,https://openalex.org/W2975439716,0,5
360,https://openalex.org/W2975584888,0,5
361,https://openalex.org/W2976060964,0,5
362,https://openalex.org/W2990581083,0,5
363,https://openalex.org/W3092858590,0,1
364,https://openalex.org/W4206440986,0,5
365,https://openalex.org/W4283377161,0,5
366,https://openalex.org/W4302009494,0,5
367,https://openalex.org/W4381284790,0,2
368,https://openalex.org/W2909547118,0,2
369,https://openalex.org/W3037206341,0,3
