community_1,community_2,community_3,community_4,community_5,year
,,,,,1960
,,,,,1961
,,,,,1962
,,,,,1963
,,,,,1964
,,,,,1965
,,,,,1966
,,,,,1967
,,,,,1968
,,,,,1969
,,,,,1970
,,,,,1971
,,,,,1972
0.0,1.0,0.0,0.0,0.0,1973
0.0,0.0,1.0,0.0,0.0,1974
,,,,,1975
,,,,,1976
,,,,,1977
,,,,,1978
,,,,,1979
,,,,,1980
,,,,,1981
,,,,,1982
,,,,,1983
1.0,0.0,0.0,0.0,0.0,1984
1.0,0.0,0.0,0.0,0.0,1985
,,,,,1986
,,,,,1987
,,,,,1988
1.0,0.0,0.0,0.0,0.0,1989
0.0,0.0,0.0,1.0,0.0,1990
,,,,,1991
,,,,,1992
,,,,,1993
0.0,1.0,0.0,0.0,0.0,1994
,,,,,1995
,,,,,1996
0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1997
0.0,0.0,0.0,1.0,0.0,1998
0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,1999
0.5,0.5,0.0,0.0,0.0,2000
0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,2001
0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,2002
0.5,0.0,0.0,0.5,0.0,2003
0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,2004
0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,2005
0.1,0.7,0.1,0.0,0.1,2006
0.2,0.4,0.4,0.0,0.0,2007
0.42857142857142855,0.2857142857142857,0.0,0.0,0.2857142857142857,2008
0.4,0.4,0.1,0.1,0.0,2009
0.25,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.0,2010
0.09090909090909091,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.2727272727272727,2011
0.5454545454545454,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,2012
0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.18181818181818182,2013
0.45454545454545453,0.18181818181818182,0.13636363636363635,0.18181818181818182,0.045454545454545456,2014
0.21428571428571427,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.14285714285714285,2015
0.5454545454545454,0.18181818181818182,0.13636363636363635,0.13636363636363635,0.0,2016
0.43333333333333335,0.16666666666666666,0.3,0.03333333333333333,0.06666666666666667,2017
0.5333333333333333,0.23333333333333334,0.16666666666666666,0.03333333333333333,0.03333333333333333,2018
0.5625,0.03125,0.25,0.125,0.03125,2019
0.4230769230769231,0.11538461538461539,0.11538461538461539,0.2692307692307692,0.07692307692307693,2020
