community_1,community_2,community_3,community_4,community_5,year
,,,,,1960
,,,,,1961
,,,,,1962
,,,,,1963
,,,,,1964
,,,,,1965
,,,,,1966
,,,,,1967
,,,,,1968
,,,,,1969
,,,,,1970
0.0,0.0,1.0,0.0,0.0,1971
,,,,,1972
0.0,1.0,0.0,0.0,0.0,1973
,,,,,1974
0.0,0.0,1.0,0.0,0.0,1975
,,,,,1976
,,,,,1977
0.0,0.0,1.0,0.0,0.0,1978
0.0,0.0,1.0,0.0,0.0,1979
,,,,,1980
0.0,0.0,1.0,0.0,0.0,1981
,,,,,1982
,,,,,1983
,,,,,1984
,,,,,1985
0.0,1.0,0.0,0.0,0.0,1986
0.0,0.0,1.0,0.0,0.0,1987
,,,,,1988
0.0,0.0,1.0,0.0,0.0,1989
,,,,,1990
0.0,0.0,1.0,0.0,0.0,1991
0.0,1.0,0.0,0.0,0.0,1992
0.0,0.375,0.625,0.0,0.0,1993
0.0,1.0,0.0,0.0,0.0,1994
0.0,1.0,0.0,0.0,0.0,1995
,,,,,1996
0.25,0.0,0.75,0.0,0.0,1997
0.875,0.0,0.125,0.0,0.0,1998
0.0,1.0,0.0,0.0,0.0,1999
1.0,0.0,0.0,0.0,0.0,2000
0.0,0.0,0.0,1.0,0.0,2001
,,,,,2002
0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,2003
0.125,0.25,0.625,0.0,0.0,2004
0.0,0.0,1.0,0.0,0.0,2005
0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,2006
0.0,0.0,1.0,0.0,0.0,2007
0.5,0.0,0.5,0.0,0.0,2008
0.2,0.6,0.2,0.0,0.0,2009
1.0,0.0,0.0,0.0,0.0,2010
0.75,0.25,0.0,0.0,0.0,2011
0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.0,2012
0.37037037037037035,0.37037037037037035,0.2222222222222222,0.037037037037037035,0.0,2013
0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,2014
0.6153846153846154,0.23076923076923078,0.15384615384615385,0.0,0.0,2015
0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.0,2016
0.5135135135135135,0.40540540540540543,0.02702702702702703,0.05405405405405406,0.0,2017
0.6470588235294118,0.29411764705882354,0.0392156862745098,0.0196078431372549,0.0,2018
0.5522388059701493,0.29850746268656714,0.014925373134328358,0.13432835820895522,0.0,2019
0.5588235294117647,0.35294117647058826,0.0,0.08823529411764706,0.0,2020
